Competition 1,Competition 2,Competition 3,Competition 4 ,Competition 5,Competition 6,Competition 7,Competition 8,Competition 8,Competition 9,Competition 10,,
2738554,52450,39206,231548,181516,1990223,1504859,112037,1014909,598266,2526481,13,Super Simple One Pot Meals Learn Cook Easy 
80748,29329,0,0,0,0,0,0,0,0,0,3,Mostly Plants Delicious Flexitarian Recipes Pollan Family 
0,1121284,968086,503351,1284340,937224,1285470,0,0,0,0,8,GlutenFree Baking Perfect Gluten Free Bread Cookies Cakes 
26899,0,0,0,0,0,0,0,0,0,0,2,The Kind Diet A Simple Guide Feeling Great 
103551,43841,364401,42913,74861,30183,766979,41509,361269,475314,259353,17,Ottolenghi Flavor A Cookbook 
431222,261586,63241,824545,36367,2930,133218,589652,0,405531,75954,722,Five Ingredient Vegan 
18909,1576674,18972,329027,77553,983453,55876,39659,6801,149452,76666,23,The Vegan Simple Delicious Recipes Made Ingredients Less 
1063009,572984,14518,884841,868080,925804,196957,383409,399480,0,0,10,Vegan Reset The Day Plan Kickstart Your Healthy 
9860,866794,0,62108,55578,643809,1018042,488235,830183,1287422,516629,30,Veggie Mama 
77258,658934,154103,582585,11960,532175,46480,55876,30551,198627,161905,28,I Can Cook Vegan 
765239,55050,0,0,0,0,0,0,0,0,0,3,Sweetly Raw Desserts 
86643,10147,203876,31568,3637,16239,210471,328646,30985,8640,33004,60,Keto Smoothie Recipes Healthy And Delicious Ketogenic Diet 
15185,0,0,0,0,0,0,0,0,0,0,2,Vegan Cheap Great Recipes Simple Strategies Save You 
875410,4151,258305,1047157,248242,0,0,0,0,0,0,6,Indian Delicious Indian recipes ingredients fewer 
289293,0,0,0,0,0,0,0,0,0,0,2,Every Grain Rice Simple Chinese Home Cooking 
122207,2556,0,0,0,0,0,0,0,0,0,3,Fermentation Beginners Delicious Fermented Vegetable Recipes Better Digestion 
54172,0,0,0,0,0,0,0,0,0,0,2,Fermented Vegetables Creative Recipes Fermenting Vegetables Herbs Krauts 
0,684,88004,252407,206723,264546,1002229,0,0,0,0,8,The Vegetarian Meal Prep Cookbook TimeSaving Recipes Weekly 
