
275178,1000000,0,0,0,0,0,0,0,0,0,0,2,Cooking Lodge Cast Iron Skillet Cookbook Essential Family 
18306,336082,377524,321854,111308,104887,162215,42533,67016,236833,109826,94155,34,Beginners Wood Pellet Smoker Grill Cookbook Complete Recipes 
502271,71784,0,0,0,0,0,0,0,0,0,0,2,Christmas Cookbook A Magnificent Collection Most Delicious Christmas 
660265,377289,1681360,12989,0,0,0,0,0,0,0,0,4,Festive Cookbook Festive Dessert Recipes Paleo Keto Dessert 
15621,1087327,71784,144904,1128050,1288571,562185,1347969,1283086,796096,106872,0,11,Top Most Delicious Christmas Recipes Holiday Recipes Book 
1000000,320889,9489,8829,1000000,44867,20773,40659,30258,16022,915170,16143,155,Ketogenic Diet Lose Up Pounds Inches Restore Overall 
17215,3236383,3130,8718,26205,2244620,324272,785070,1721,80183,13154,1000000,536,Simple Christmas Recipes 
2912712,23008,33465,37665,0,0,0,0,0,0,0,0,4,Vegan Meal Prep Ideas The Starter Kit Vegetarian 
10542,3158057,207070,2497863,359341,272293,251342,732333,2730911,1009730,1870592,0,11,Christmas Slow Cooker Recipes The Simple Guide Holiday 
460227,329089,24487,26205,320850,293033,316728,361917,756321,239628,20369,3947386,42,Christmas Dinner Quick Easy Ever Christmas Cookbook Holiday 
1870592,732333,2497863,10542,2730911,293057,359341,207070,3158057,1009730,251342,0,11,Christmas Slow Cooker Recipes The Simple Guide Holiday 
87178,2282257,0,0,0,0,0,0,0,0,0,0,2,Anti Inflammatory Gluten Free Holiday Cookbook Best Paleo 
2514172,8914,643,78996,4880,557073,26207,32284,909238,31608,2692,35831,46,Keto Diet Guide Cookbook Beginners Your ultimate essential 
1981413,2299472,46729,516970,1565803,3896806,0,0,0,0,0,0,6,Dukan Diet The Ultimate Dukan Diet Guide How 
358416,3006028,121604,111103,0,0,0,0,0,0,0,0,4,COOK TASTY HOLIDAY VEGAN AND GLUTENFREE THE BEST 
170131,3275450,24787,333955,0,0,0,0,0,0,0,0,4,Low Carb Paleo Christmas Healthy Easy Recipes Based 
18034,20556,17235,47667,106872,86349,175403,0,0,0,0,0,7,COPYCAT RECIPES Cookbook How Make Cracker Barrel Restaurants 
